No.,Time,Source,Destination,Protocol,Length,Info
1,0,be:0a:1a:48:73:e3,Broadcast,ARP,42,Who has 10.0.0.2? Tell 10.0.0.1
2,0.000012,1e:35:7e:c2:ad:a5,be:0a:1a:48:73:e3,ARP,42,10.0.0.2 is at 1e:35:7e:c2:ad:a5
3,0.022292,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
4,0.022331,10.0.0.2,10.0.0.1,ICMP,582,Destination unreachable (Port unreachable)
5,0.022984,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
6,0.022992,10.0.0.2,10.0.0.1,ICMP,582,Destination unreachable (Port unreachable)
7,0.023742,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
8,0.02375,10.0.0.2,10.0.0.1,ICMP,582,Destination unreachable (Port unreachable)
9,0.027229,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
10,0.027269,10.0.0.2,10.0.0.1,ICMP,582,Destination unreachable (Port unreachable)
11,0.031458,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
12,0.03148,10.0.0.2,10.0.0.1,ICMP,582,Destination unreachable (Port unreachable)
13,0.035753,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
14,0.03577,10.0.0.2,10.0.0.1,ICMP,582,Destination unreachable (Port unreachable)
15,0.040119,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
16,0.044578,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
17,0.04866,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
18,0.053032,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
19,0.057512,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
20,0.062083,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
21,0.06617,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
22,0.070734,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
23,0.074882,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
24,0.078979,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
25,0.083649,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
26,0.087766,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
27,0.092404,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
28,0.096478,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
29,0.101004,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
30,0.105029,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
31,0.109371,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
32,0.113693,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
33,0.118846,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
34,0.122366,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
35,0.126882,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
36,0.130914,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
37,0.135431,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
38,0.139968,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
39,0.144355,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
40,0.148495,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
41,0.153006,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
42,0.156995,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
43,0.161294,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
44,0.165625,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
45,0.170064,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
46,0.174417,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
