"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"3","0.021131","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]",""
"5","0.023008","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.001877"
"7","0.024434","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.001426"
"9","0.025185","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.000751"
"11","0.025924","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.000739"
"13","0.026654","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.000730"
"15","0.027317","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.000663"
"16","0.027956","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.000639"
"17","0.028503","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.000547"
"18","0.032210","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.003707"
"19","0.036485","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004275"
"20","0.040825","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004340"
"21","0.045144","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004319"
"22","0.049468","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004324"
"23","0.053864","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004396"
"24","0.058123","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004259"
"25","0.062453","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004330"
"26","0.066857","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004404"
"27","0.071463","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004606"
"28","0.075613","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004150"
"29","0.079979","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004366"
"30","0.084287","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004308"
"31","0.088610","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004323"
"32","0.093840","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.005230"
"33","0.097324","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.003484"
"34","0.101675","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004351"
"35","0.105938","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004263"
